timestamp,data,prediction-5step
datetime,float,float
,,
0,14634.0,16910.9335937500000
1,13888.0,16057.0107421875000
2,17430.0,14691.7167968750000
3,21919.0,12876.7949218750000
4,23633.0,10890.0488281250000
5,24512.0,8686.5302734375000
6,24887.0,7115.4628906250000
7,26872.0,7887.3466796875000
8,22009.0,10180.2314453125000
9,18259.0,11371.3593750000000
10,20844.0,11991.2265625000000
11,22576.0,12173.4902343750000
12,22401.0,13172.4355468750000
13,19056.0,10570.9003906250000
14,17518.0,8584.0625000000000
15,15307.0,8821.1875000000000
16,12646.0,9595.4697265625000
17,10562.0,9592.6152343750000
18,8416.0,8157.7114257812500
19,7098.0000000000009,6876.6445312500000
20,5826.0,5559.5556640625000
21,4383.0,4823.9296875000000
22,3270.0,4863.6679687500000
23,2948.0,5122.9511718750000
24,3146.0,5891.8945312500000
25,3077.0,6896.8935546875000
26,3000.0,8222.5947265625000
27,4592.0,10326.7753906250000
28,6486.0,13146.0332031250000
29,10113.0,15429.5517578125000
30,12240.0,16845.9394531250000
31,14574.0,17433.0800781250000
32,16778.0,18024.4453125000000
33,18910.0,18318.0546875000000
34,18350.0,18914.1445312500000
35,17218.0,18789.5390625000000
36,16097.0,18198.4804687500000
37,16409.0,17433.5937500000000
38,15893.0,17196.1718750000000
39,16778.0,17035.9472656250000
40,17604.0,16859.5722656250000
41,18665.0,16726.0332031250000
42,19045.0,16764.8457031250000
43,19261.0,16754.2558593750000
44,19363.0,16903.8593750000000
45,19078.0,17146.3906250000000
46,18193.0,17562.2285156250000
47,16635.0,18021.3652343750000
48,14615.0,18505.1191406250000
49,13759.0,19019.6191406250000
50,17008.0,19523.6289062500000
51,19595.0,20028.9453125000000
52,21328.0,20648.3847656250000
53,22661.0,21423.7070312500000
54,29985.0,22370.8085937500000
55,21501.0,23004.5507812500000
56,22684.0,22903.2343750000000
57,22188.0,22735.8085937500000
58,22663.0,22869.5976562500000
59,19573.0,22511.0585937500000
60,17136.0,23258.3027343750000
61,16606.0,23085.4804687500000
62,16166.0,22558.0019531250000
63,16020.0,21659.4062500000000
64,15591.0,19013.0507812500000
65,14395.0,15022.2792968750000
66,12535.0,11560.8984375000000
67,11341.0,9287.0234375000000
68,9980.0,7665.4555664062500
69,8404.0,6219.2890625000000
70,7200.0,5048.5068359375000
71,6578.0,4461.2587890625000
72,5657.0,4353.1582031250000
73,4474.0,4203.0019531250000
74,3459.0,4129.7236328125000
75,3276.0,4233.0273437500000
76,3595.0,4441.1220703125000
77,4240.0,4587.2177734375000
78,4828.0,4748.5009765625000
79,4926.0,5034.8125000000000
80,5165.0,5695.5009765625000
81,5776.0,7161.7114257812500
82,7337.9999999999991,9640.8750000000000
83,7838.9999999999991,12549.3369140625000
84,8623.0,14850.7861328125000
85,9731.0,15958.4257812500000
86,11024.0,16212.3554687500000
87,13231.0,16623.2089843750000
88,13613.0,16545.7324218750000
89,13737.0,16468.7910156250000
90,15574.0,16276.1777343750000
91,14226.0,16113.8994140625000
92,18480.0,15985.1308593750000
93,18265.0,15819.7216796875000
94,16575.0,15696.0830078125000
95,16417.0,15387.3750000000000
96,14703.0,15455.8652343750000
97,13469.0,15436.9375000000000
98,12105.0,16132.3066406250000
99,11676.0,15987.3964843750000
100,15487.0,15736.8935546875000
101,15077.0,15195.2148437500000
102,14999.0,14721.2324218750000
103,14487.0,14365.5380859375000
104,14415.0,14222.4238281250000
105,13796.0,14471.8281250000000
106,14036.0,14668.5664062500000
107,14021.0,14701.9628906250000
108,15593.0,14513.2226562500000
109,16589.0,14203.2089843750000
110,17984.0,13723.0683593750000
111,18035.0,13223.9335937500000
112,17576.0,12715.5185546875000
113,16189.0,12592.6757812500000
114,14441.0,12683.3007812500000
115,12535.0,12882.3046875000000
116,11006.0,12028.1972656250000
117,9151.0,10622.5859375000000
118,8009.9999999999991,8746.1523437500000
119,7096.0000000000009,6619.8916015625000
120,6407.0,5096.1689453125000
121,4421.0,4642.5332031250000
122,3126.0,4384.9853515625000
123,2514.0,4397.4609375000000
124,2550.0,4489.4521484375000
125,3148.0,4668.2958984375000
126,3658.0,4833.0507812500000
127,4345.0,5506.7128906250000
128,4682.0,6879.9238281250000
129,6248.0,9169.1953125000000
130,7454.0,11735.0000000000000
131,9010.0,13930.6943359375000
132,10280.0,15498.8564453125000
133,11488.0,15997.8447265625000
134,11595.0,16642.7187500000000
135,13098.0,16660.0468750000000
136,12623.0,16697.1621093750000
137,13031.0,16448.6113281250000
138,13263.0,16241.8808593750000
139,13349.0,16029.9492187500000
140,13822.0,15921.8388671875000
141,13716.0,15828.0976562500000
142,13919.0,15737.4482421875000
143,14203.0,15683.4101562500000
144,13179.0,15630.5117187500000
145,13708.0,15534.3769531250000
146,13897.0,15507.0654296875000
147,14740.0,15443.1552734375000
148,14575.0,15428.1279296875000
149,16085.0,15594.5537109375000
150,18182.0,15549.1513671875000
151,16861.0,15703.2812500000000
152,14140.0,15854.2714843750000
153,14477.0,16259.1738281250000
154,15293.0,16511.6914062500000
155,15457.0,17004.0566406250000
156,16048.0,17256.9960937500000
157,17477.0,16959.9121093750000
158,16391.0,16435.0253906250000
159,17006.0,15879.1845703125000
160,15427.0,15083.0292968750000
161,14615.0,14155.9121093750000
162,13124.0,13573.0849609375000
163,12222.0,11818.6093750000000
164,11134.0,10623.1640625000000
165,9145.0,8670.6308593750000
166,8624.0,6876.2783203125000
167,7885.0,5290.8603515625000
168,7166.9999999999991,4765.3232421875000
169,4805.0,4462.4345703125000
170,3103.0,4210.6318359375000
171,2671.0,4317.4248046875000
172,2510.0,4323.7353515625000
173,2917.0,4397.0664062500000
174,3189.0,4347.5429687500000
175,4107.0,4635.3515625000000
176,4122.0,5110.6171875000000
177,5654.0,6283.4169921875000
178,6360.0,8235.0019531250000
179,8406.0,10410.6767578125000
180,9372.0,12493.5126953125000
181,11067.0,14002.8320312500000
182,11595.0,15522.0019531250000
183,12909.0,15831.3310546875000
184,13715.0,16307.3046875000000
185,13648.0,16107.8095703125000
186,14296.0,16036.9931640625000
187,14798.0,15874.6708984375000
188,15473.0,15775.9375000000000
189,16032.0,15650.9228515625000
190,14661.0,15565.9208984375000
191,14836.0,15424.1767578125000
192,13700.0,15289.0117187500000
193,14565.0,15174.8466796875000
194,15392.0,15294.3613281250000
195,16866.0,15518.2187500000000
196,16893.0,15516.1845703125000
197,16877.0,15484.6123046875000
198,17025.0,15428.3281250000000
199,15884.0,15616.3427734375000
200,14487.0,16085.4111328125000
201,14159.0,16336.9287109375000
202,16135.0,16215.8769531250000
203,16165.0,15800.2646484375000
204,14025.0,14624.5996093750000
205,13970.0,12929.4306640625000
206,13198.0,11336.8232421875000
207,11355.0,10790.7734375000000
208,8675.0,9791.0957031250000
